Filename,Shotcode,Episode,Story,Date of Output,Creator,AI Tools,Is Re-spin,Re-spin Status,Ingested at Cream,Network Priority,Missing Prompt,Frame.io
CTD_AI_HMB_Collision_20260731_1a.mov,,,,,,,,,Y,,,
CTD_AI_HMB_Collision_20260731_3a.mov,,,,,,,,,Y,,,
CTD_AI_SDS_WorkerPullies_20260610_1a.mov,,,,2026-06-10,SM,Chat GPT; Krea,,,Y,,,
CTD_AI_OTI_TitanDragged_20260615_1d.mov,,,,2026-06-15,SM,Chat GPT; Krea,,,Y,,,
CTD_AI_OTI_TitanDragged_20260615_1e.mov,,,,2026-06-15,SM,Chat GPT; Krea,,Re-spin Completed,Y,,,
CTD_AI_PAO_BollandsEscapes2_20260615.mov,CTD_AI_PAO_BollandsEscapes2,,,2026-06-15,JJ,Chat GPT; Krea,,,Y,,,
CTD_AI_PAO_BollandsEscapes2_20260616_1a.mov,CTD_AI_PAO_BollandsEscapes2,,,2026-06-16,WS,Chat GPT; Krea,,,Y,,,
CTD_AI_PAO_BollandsEscapes2_20260616_1b.mov,CTD_AI_PAO_BollandsEscapes2,,,2026-06-16,WS,Chat GPT; Krea,,,Y,,,
CTD_AI_KAR_NorhamCastleEnveloped3_20260617_1a.mov,CTD_AI_KAR_NorhamCastleEnveloped3,,,2026-06-17,SM,Chat GPT; Krea,,,Y,,,
CTD_AI_KAR_NorhamCastleEnveloped3_20260617_1b.mov,CTD_AI_KAR_NorhamCastleEnveloped3,,,2026-06-17,SM,Chat GPT; Krea,,,Y,,,
CTD_AI_KAR_NorhamCastleEnveloped3_20260617_1c.mov,CTD_AI_KAR_NorhamCastleEnveloped3,,,2026-06-17,SM,Chat GPT; Krea,,,Y,,,
CTD_AI_SJE_HomeKnockedDown_1a.mov,CTD_AI_SJE_HomeKnockedDown,,,2026-06-19,JJ,Krea; Chat GPT,,,Y,,,
CTD_AI_ORA_BoatsCapsizeA_20260706_1a.mov,,,,2026-07-06,JJ,,,,Y,,,
CTD_AI_ORA_BoatsCapsizeA_20260706_1b.mov,,,,2026-07-06,JJ,,,,Y,,,
CTD_AI_SJE_HomeKnockedDown_20260713_2a.mov,CTD_AI_SJE_HomeKnockedDown,,,2026-07-13,JJ,,,,Y,,,
CTD_AI_SJE_HomeKnockedDown_2_20260713_1a.mov,CTD_AI_SJE_HomeKnockedDown,,,2026-07-13,JJ,,,,Y,,,
