Sequence,Episode,Stage,Date,AI Clips,AI Seconds,AI Time,Runtime (s),Runtime,AI Share %
CTD_101_RC2_20260626,101,Rough Cut 2,2026-06-26,280,688.34,11:28,2654.42,44:14,25.9
CTD_101_FC_20260713,101,Fine Cut,2026-07-13,341,770.6,12:50,2616.29,43:36,29.5
CTD_101_SNAPINS_20260714,101,Snap-ins,2026-07-14,27,92.2,1:32,262.54,4:22,35.1
CTD_101_PL_20260724,101,Picture Lock,2026-07-24,338,766.39,12:46,2582.42,43:02,29.7
CTD_101_CONFORM,101,Conform,,338,764.5,12:44,2582.42,43:02,29.6
CTD_102_RC1_20260701,102,Rough Cut 1,2026-07-01,295,873.3,14:33,2689.38,44:49,32.5
CTD_102_FC_20260729,102,Fine Cut,2026-07-29,450,1145.36,19:05,2599.25,43:19,44.1
CTD_102_PL_20260812,102,Picture Lock,2026-08-12,471,1137.2,18:57,2766.29,46:06,41.1
CTD_103_RC_20260721,103,Rough Cut,2026-07-21,318,722.39,12:02,2592.42,43:12,27.9
CTD_103_FC_20260807,103,Fine Cut,2026-08-07,415,859.91,14:19,2580.92,43:00,33.3
CTD_104_RC_20260727,104,Rough Cut,2026-07-27,357,1026.53,17:06,2640.17,44:00,38.9
