Name,Episode,Stage,Date Scheduled,Date Delivered,Editor,Group,QC / Revisions,Network Notes
101 DELIVER,101,DELIVER,,,,,,
101 RC1,101,RC1,,2026-06-02,,,,https://docs.google.com/document/d/1T1o8GowGXdtQkoCLxE22TVXuyxFkKxPE/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
101 RC2 (Story 1-2),101,RC2,,2026-06-18,,,,https://docs.google.com/document/d/1hGMNt4QBNDj0xXbgIZgB1S8ce5HyMjdL/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
101 RC2,101,RC2,,2026-06-26,,,,https://docs.google.com/document/d/1nmVUGO9nE2WnLrA3tUgwn1On2rOMWYdC/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
101 FC,101,FC,,2026-07-13,,,,https://docs.google.com/document/d/1DxWZ8pcANyyd5nm6ouOYco2CBpJuRoki/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
101 PL,101,PL,,2026-07-24,,,,https://docs.google.com/document/d/1jTTcJdfKsqpZLfOaXRxAzzg9awIGzMZ0/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
102 DELIVER,102,DELIVER,,,,,,
102 RC1,102,RC1,,2026-07-01,,,,https://docs.google.com/document/d/1VQkd_DWQJZSft15UUXo-i1td7K2in4xg/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
102 FC,102,FC,,2026-07-29,,,,https://docs.google.com/document/d/1htxdnWH9L-K4ccoesNI9l66CiL5f2epf/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
102 PL,102,PL,,2026-08-12,,,,https://docs.google.com/document/d/1Em5IXqW7RmoQjaYoedsF8zhCYxOH8QRh/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
103 DELIVER,103,DELIVER,,,,,,
103 PL,103,PL,,,,,,
103 RC1,103,RC1,,2026-07-21,,,,https://docs.google.com/document/d/1lCgh8UN8Ms-erA-c6vOc3qKyh34DGvYM/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
103 FC,103,FC,,2026-08-07,,,,https://docs.google.com/document/d/1HAYIMcna99b7BGdjW6RYvTPZMm3vw4dV/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
104 FC,104,FC,,,,,,
104 DELIVER,104,DELIVER,,,,,,
104 PL,104,PL,,,,,,
104 RC1,104,RC1,,2026-07-27,,,,https://docs.google.com/document/d/1HSd_5pmysIclASDjeBkWe-fvk3YsEHiH/edit?usp=drive_link&ouid=110382626186996233631&rtpof=true&sd=true
105 RC1,105,RC1,,,,,,
105 FC,105,FC,,,,,,
105 DELIVER,105,DELIVER,,,,,,
105 PL,105,PL,,,,,,
106 RC1,106,RC1,,,,,,
106 PL,106,PL,,,,,,
106 FC,106,FC,,,,,,
106 DELIVER,106,DELIVER,,,,,,
107 FC,107,FC,,,,,,
107 PL,107,PL,,,,,,
107 DELIVER,107,DELIVER,,,,,,
107 RC1,107,RC1,,,,,,
108 DELIVER,108,DELIVER,,,,,,
108 FC,108,FC,,,,,,
108 PL,108,PL,,,,,,
108 RC1,108,RC1,,,,,,
