Story,Story Code,Episode,Re-spin Clips
Fukushima Nuclear Disaster,FDN,101,295
Air France Flight 447,447,101,175
OceanGate Titan Implosion,OTI,102,132
Mount St. Helens Eruption,MSH,101,112
Tenerife Airport Disaster,TAD,102,112
Boston Molasses Flood,BMF,102,99
Texas City Disaster,TXC,101,93
Sampoong Department Store Collapse,SDS,103,88
Lac-Megantic Rail Disaster,LMR,103,81
Hindenburg,HIN,101,77
Piper Alpha Oil Rig Disaster,PAO,102,69
China Floods,CHF,101,60
Triangle Shirtwaist Factory,TSF,104,45
Loma Prieta Earthquake,LPE,102,43
Korean Air Lines Flight 007,KAL007,104,42
Hurricane Katrina,HKA,102,40
San Juanico LPG Explosion,SJE,103,29
I-35 Mississippi River Bridge Collapse,MRB,104,22
Krakatoa Eruption,KAR,102,6
American Airlines Flight 191,AA191,103,2
