Day,Date,Episodes,Data Total (GB),Cam Roll IDs,Notes
SD01,2026-04-10,101; 102,1584.24,A001 - A009 ⏎ B001 - B009 ⏎,
SD02,2026-04-11,101; 102,1526.8600000000001,A010 - A018 ⏎ B010 - B018,
SD03,2026-04-12,101; 102,1636.35,A019 - A027 ⏎ B019 - B027,
SD04,2026-04-14,101; 102,1348.45,A028 - A036 ⏎ B028 - B036,Clip in Camroll A031 is labelled as A030 ⏎
SD05,2026-04-15,101; 102,1162.39,A037 - A043 ⏎ B037 - B043,
SD06,2026-05-18,101; 102; 103; 104,1609.99,A044 - A052 ⏎ B044 - B052,
SD07,2026-05-19,103; 104,1504.65,A053 - A062 ⏎ B053 - B062 ⏎,
SD08,2026-05-20,103; 104,1539.8200000000002,A063 - A072 ⏎ B063 - B072,
SD09,2026-05-22,103; 104,1439.9699999999998,A073 - A082 ⏎ B073 - B072 ⏎,
SD10,2026-05-23,101; 102; 103; 104,1396.83,A083 - A091 ⏎ B083 - B091 ⏎,
SD11,2026-06-30,102; 105; 106; 107; 108,1630.76,A092 - A100 ⏎ B092 - B100 ⏎,
SD12,2026-07-01,101; 102; 103; 105; 106; 107; 108,1350.94,A101 - A109 ⏎ B101 - B109 ⏎,
SD13,2026-07-02,101; 102; 103; 105; 106; 107; 108,1383.2800000000002,A110 - A118 ⏎ B110 - B118 ⏎,
SD14,2026-07-03,101; 102; 103; 105; 106; 107; 108,1429.74,A119 - A126 ⏎ B119 - B126 ⏎,
SD15,2026-07-05,105; 106; 107; 108,1450.85,A127 - A134 ⏎ B127 - B134 ⏎,NO BCAM FOR DAN RISKIN TAKE 1 ⏎
SD16,2026-07-06,101; 102; 103; 105; 106; 107; 108,1511.4900000000002,A135 - A143 ⏎ B135 - B143 ⏎,
SD17,2026-07-07,101; 102; 103; 105; 106; 107; 108,1555.9299999999998,A144 - A152 ⏎ B144 - B152,
SD18,2026-07-08,102; 103; 105; 106; 107; 108,1542.85,A153 - A160 ⏎ B153 - B160,
SD19,2026-07-09,101; 102; 103; 104; 105; 106; 107; 108,1540.76,A161 - A169 ⏎ B161 - B169 ⏎,
SD20,2026-07-10,101; 102; 103; 104; 105; 106; 107; 108,1554.62,A170 - A177 ⏎ B170 - B177 ⏎,
SD21,2026-07-11,105; 106; 107; 108,1416.21,A178 - A184 ⏎ B178 - B184 ⏎,
