Shotcode,Episode,Story,Story Code,Status,Assignment,Network Priority,Due Date,Chronological Order,Clips Generated,Script Beat,Creative Direction,Notes
,,,,Not started,,,,,10,,,
,,,,Not started,,,,,10,,,
,,,,Not started,,,,,10,,,
,,,,Not started,,,,,10,,,
,,,,Not started,,,,,10,,,
,,,,Not started,,,,,10,,,
,,,,Not started,,,,,10,,,
,,,,Not started,,,,,10,,,
,,,,Not started,,,,,10,,,
CTD_AI_,,,,Not started,,,,,0,,,
CTD_AI_BMF_MolassesPumpedIn_20260621_2a.mov,,,,Not started,,,,,0,,,
CTD_AI_BMF_RivetsLoosen_20260619_1a.mov,,,,Not started,,,,,0,,,
CTD_AI_CCS_JUL9HoldHands,,,,Not started,,,,,0,,,
CTD_AI_CCS_PlatesFlying01_20260629_2a,,,,Not started,,,,,0,,,
CTD_AI_CCS_Stampede0,,,,Not started,,,,,0,,,
CTD_AI_CCS_Stampede03_20260629_2,,,,Not started,,,,,0,,,
CTD_AI_HMB_BarrelsCargo,,,,Sent to Cream,,,,,7,,,
CTD_AI_HMB_BridgeView,,,,Sent to Cream,,,,,6,,,
CTD_AI_HMB_Collision,,,,Sent to Cream,,,,,8,,,
CTD_AI_HMB_ESTABS,,,,Sent to Cream,,,,,5,,,
CTD_AI_HMB_MBfire,,,,Sent to Cream,,,,,9,,,
CTD_AI_HMB_MontBlancWhistle1,,,,Sent to Cream,,,,,2,,,
CTD_AI_KAR_NorhamCastleEnveloped3,,,,Sent to Cream,,,,,3,,,
CTD_AI_LMR_EpoxyRepair,,,,Not started,,,,,0,,,
CTD_AI_LMR_HandBrake01,,,,Not started,,,,,0,,,
CTD_AI_LMR_PowerOut01 ,,,,Not started,,,,,0,,,
CTD_AI_LPE_RowHouseWindowPOV,,,,Not started,,,,,1,,,
CTD_AI_OTI_TITAN_LAUNCHa,,,,Not started,,,,,0,,,
CTD_AI_PAO_BollandsEscapes2,,,,Sent to Cream,,,,,4,,,
CTD_AI_PAO_FirstAlarm,,,,Not started,,,,,0,,,
CTD_AI_SJE_HomeKnockedDown,,,,Sent to Cream,,,,,3,Lance Geiger ([15:47:13](https://www.rev.com/app/transcript/NmExNjE0NGQ0NTY3ZGQ5MmNkYjFkYTY2Rm9KdjlZOE5WQkw4/o/VEMwMTg1MjAyOTE0?ts=3658.9)): ⏎ Other homes are knocked down by the shockwave from explosions.,,
